review,rating,date,bank,source,sentiment_label,sentiment_score
tankyu,5,2025-11-05,CBE,google_play,Neutral,0.0
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,google_play,Neutral,0.0
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,google_play,Neutral,0.0258
loved it,5,2025-11-05,CBE,google_play,Positive,0.5994
this app is not working on my phone,5,2025-11-03,CBE,google_play,Neutral,0.0
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,google_play,Neutral,-0.0423
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,google_play,Positive,0.5678
wow 😘😘😘,4,2025-11-02,CBE,google_play,Positive,0.9042
mobile banking broblem,5,2025-11-01,CBE,google_play,Neutral,0.0
good job,5,2025-11-01,CBE,google_play,Positive,0.4404
it is a good and clear apps to use,4,2025-10-31,CBE,google_play,Positive,0.6705
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,google_play,Neutral,0.0
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,google_play,Positive,0.861
niiceh,5,2025-10-29,CBE,google_play,Neutral,0.0
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,google_play,Negative,-0.2144
🤮,1,2025-10-29,CBE,google_play,Neutral,0.0
abdulakim abrahim elemoo,5,2025-10-29,CBE,google_play,Neutral,0.0
strong,5,2025-10-28,CBE,google_play,Positive,0.5106
Abebaw Zenebe,5,2025-10-28,CBE,google_play,Neutral,0.0
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,google_play,Positive,0.6486
Cbe,5,2025-10-27,CBE,google_play,Neutral,0.0
Active and granted system,5,2025-10-27,CBE,google_play,Positive,0.5719
fast app,4,2025-10-27,CBE,google_play,Neutral,0.0
cool 😎,5,2025-10-27,CBE,google_play,Positive,0.6486
Galaxy A10s,3,2025-10-26,CBE,google_play,Neutral,0.0
the best apps,5,2025-10-26,CBE,google_play,Positive,0.6369
arif app new,5,2025-10-26,CBE,google_play,Neutral,0.0
laga Bari biranch,5,2025-10-26,CBE,google_play,Neutral,0.0
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,google_play,Neutral,0.0
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,google_play,Positive,0.6597
Attractive,5,2025-10-25,CBE,google_play,Positive,0.4404
mite,5,2025-10-24,CBE,google_play,Neutral,0.0
useful,5,2025-10-24,CBE,google_play,Positive,0.4404
"not good, not bad!",3,2025-10-23,CBE,google_play,Negative,-0.6208
very good,5,2025-10-23,CBE,google_play,Positive,0.4927
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,google_play,Neutral,0.0
imp,5,2025-10-22,CBE,google_play,Neutral,0.0
super fast app,5,2025-10-21,CBE,google_play,Positive,0.5994
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,google_play,Positive,0.6896
cbe,4,2025-10-18,CBE,google_play,Neutral,0.0
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,google_play,Neutral,0.0
blah blah blah,5,2025-10-18,CBE,google_play,Negative,-0.296
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,google_play,Negative,-0.5423
CBE no.1,5,2025-10-17,CBE,google_play,Neutral,0.0
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,google_play,Neutral,0.0
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,google_play,Positive,0.9152
gooof,5,2025-10-16,CBE,google_play,Neutral,0.0
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,google_play,Negative,-0.564
Best app,5,2025-10-16,CBE,google_play,Positive,0.6369
still not perfect like before,1,2025-10-15,CBE,google_play,Negative,-0.6259
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,google_play,Negative,-0.9287
APPLIED,1,2025-10-14,CBE,google_play,Neutral,0.0
10 years ago,4,2025-10-14,CBE,google_play,Neutral,0.0
Asefa Obsa,5,2025-10-14,CBE,google_play,Neutral,0.0
it's good app,5,2025-10-14,CBE,google_play,Positive,0.4404
very slow,1,2025-10-14,CBE,google_play,Neutral,0.0
berhan deriba wami,4,2025-10-14,CBE,google_play,Neutral,0.0
mahamad Usman,5,2025-10-13,CBE,google_play,Neutral,0.0
Erako,5,2025-10-13,CBE,google_play,Neutral,0.0
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,google_play,Negative,-0.875
opne,5,2025-10-13,CBE,google_play,Neutral,0.0
