review,rating,date,bank,source,sentiment_label,sentiment_score,clean_text,theme
excellent but sometimes can not connect,5,2025-11-10,CBE,google_play,Positive,0.3291,excellent connect,Other
wow apk,5,2025-11-10,CBE,google_play,Positive,0.5859,wow apk,Other
best 100 %,5,2025-11-10,CBE,google_play,Positive,0.6369,well,Other
bad app,1,2025-11-10,CBE,google_play,Negative,-0.5423,bad app,Other
best app,5,2025-11-10,CBE,google_play,Positive,0.6369,good app,Other
nice app,5,2025-11-10,CBE,google_play,Positive,0.4215,nice app,Other
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,google_play,Positive,0.6355,app constantly glitche will stop load despite have decent connection clear cache telebirr way well,Other
I can't access it properly I think it needs update,1,2025-11-10,CBE,google_play,Neutral,0.0,access properly think need update,Other
👌👌,5,2025-11-10,CBE,google_play,Positive,0.9055,,Other
best 👌,5,2025-11-10,CBE,google_play,Positive,0.8842,good,Other
not Refresh,2,2025-11-10,CBE,google_play,Neutral,0.0,refresh,Other
your statement is not used as wanted,1,2025-11-10,CBE,google_play,Neutral,0.0,statement want,Other
good very good,5,2025-11-09,CBE,google_play,Positive,0.7264,good good,Other
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,google_play,Negative,-0.4939,absolute trash woke time server g datum internet steal work use work datum package trash send money,Other
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,google_play,Positive,0.9251,bayeee galatooma kana caalati nu gammachisa,Other
Good !,5,2025-11-08,CBE,google_play,Positive,0.4926,good,Other
i like it,5,2025-11-08,CBE,google_play,Positive,0.3612,like,Other
Very nice app,5,2025-11-08,CBE,google_play,Positive,0.4754,nice app,Other
the app is not functional this week.,4,2025-11-08,CBE,google_play,Neutral,0.0,app functional week,Other
very updated bank,5,2025-11-06,CBE,google_play,Neutral,0.0,update bank,Other
tankyu,5,2025-11-05,CBE,google_play,Neutral,0.0,tankyu,Other
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,google_play,Neutral,0.0,number write pin verification,Other
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,google_play,Neutral,0.0258,uninstalled need visit nearby bank ask new sim card buy new sim card new sim card reach service provider say authentication pin arrive system work come tomorrow,Other
loved it,5,2025-11-05,CBE,google_play,Positive,0.5994,love,Other
this app is not working on my phone,5,2025-11-03,CBE,google_play,Neutral,0.0,app work phone,Other
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,google_play,Neutral,-0.0423,cbe need transaction fee transaction confirm big issue fee long insignificant,Other
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,google_play,Positive,0.5678,recent update unable download receipt name account holder previously transact important fix asap,Other
wow 😘😘😘,4,2025-11-02,CBE,google_play,Positive,0.9042,wow,Other
mobile banking broblem,5,2025-11-01,CBE,google_play,Neutral,0.0,mobile banking broblem,Other
good job,5,2025-11-01,CBE,google_play,Positive,0.4404,good job,Other
it is a good and clear apps to use,4,2025-10-31,CBE,google_play,Positive,0.6705,good clear app use,Other
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,google_play,Neutral,0.0,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር ብር ሲተላለፍ ብር እንዲቆርጥ ያደረጋችሁት,Other
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,google_play,Positive,0.861,love app b c option app clear supportive,Customer Support
niiceh,5,2025-10-29,CBE,google_play,Neutral,0.0,niiceh,Other
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,google_play,Negative,-0.2144,app good dark mode add,Other
🤮,1,2025-10-29,CBE,google_play,Neutral,0.0,,Other
abdulakim abrahim elemoo,5,2025-10-29,CBE,google_play,Neutral,0.0,abdulakim abrahim elemoo,Other
strong,5,2025-10-28,CBE,google_play,Positive,0.5106,strong,Other
Abebaw Zenebe,5,2025-10-28,CBE,google_play,Neutral,0.0,abebaw zenebe,Other
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,google_play,Positive,0.6486,good love new update fire soo good,Other
Cbe,5,2025-10-27,CBE,google_play,Neutral,0.0,cbe,Other
Active and granted system,5,2025-10-27,CBE,google_play,Positive,0.5719,active grant system,Other
fast app,4,2025-10-27,CBE,google_play,Neutral,0.0,fast app,Other
cool 😎,5,2025-10-27,CBE,google_play,Positive,0.6486,cool,Other
Galaxy A10s,3,2025-10-26,CBE,google_play,Neutral,0.0,galaxy,Other
the best apps,5,2025-10-26,CBE,google_play,Positive,0.6369,good app,Other
arif app new,5,2025-10-26,CBE,google_play,Neutral,0.0,arif app new,Other
laga Bari biranch,5,2025-10-26,CBE,google_play,Neutral,0.0,laga bari biranch,Transaction Performance
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,google_play,Neutral,0.0,ነነሠነሠሠነሠሠሠሠነየነ,Other
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,google_play,Positive,0.6597,like suggest improve time take money return day,Other
Attractive,5,2025-10-25,CBE,google_play,Positive,0.4404,attractive,Other
mite,5,2025-10-24,CBE,google_play,Neutral,0.0,mite,Other
useful,5,2025-10-24,CBE,google_play,Positive,0.4404,useful,Other
"not good, not bad!",3,2025-10-23,CBE,google_play,Negative,-0.6208,good bad,Other
very good,5,2025-10-23,CBE,google_play,Positive,0.4927,good,Other
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,google_play,Neutral,0.0,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,Other
imp,5,2025-10-22,CBE,google_play,Neutral,0.0,imp,Other
super fast app,5,2025-10-21,CBE,google_play,Positive,0.5994,super fast app,Other
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,google_play,Positive,0.6896,app nice design useful feature like balance check transfer unstable fail connect force user turn developer option unnecessary banking app work fine people use developer mode normal reason fix performance issue remove restriction add biometric login well security convenience,Account Access Issues
cbe,4,2025-10-18,CBE,google_play,Neutral,0.0,cbe,Other
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,google_play,Neutral,0.0,say ti work device,Other
blah blah blah,5,2025-10-18,CBE,google_play,Negative,-0.296,blah blah blah,Other
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,google_play,Negative,-0.5423,bad ግዴታ መሆንሁ,Other
CBE no.1,5,2025-10-17,CBE,google_play,Neutral,0.0,cbe,Other
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,google_play,Neutral,0.0,work correctly need work,Other
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,google_play,Positive,0.9152,easy use secured previous love appreciate commercial bank ethiopia time update,Other
gooof,5,2025-10-16,CBE,google_play,Neutral,0.0,gooof,Other
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,google_play,Negative,-0.564,suddenly cbe application stop work call callcenter tell expire vist branch fix go cbe silassie fill form give sit wait finish fix customer case arrive turn ppl come mobile banking atm card case finish leave work,Other
Best app,5,2025-10-16,CBE,google_play,Positive,0.6369,good app,Other
still not perfect like before,1,2025-10-15,CBE,google_play,Negative,-0.6259,perfect like,Other
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,google_play,Negative,-0.9287,app dash board disturb show traxation balance display option dashboard think risk app,Other
APPLIED,1,2025-10-14,CBE,google_play,Neutral,0.0,apply,Other
10 years ago,4,2025-10-14,CBE,google_play,Neutral,0.0,year ago,Other
Asefa Obsa,5,2025-10-14,CBE,google_play,Neutral,0.0,asefa obsa,Other
it's good app,5,2025-10-14,CBE,google_play,Positive,0.4404,good app,Other
very slow,1,2025-10-14,CBE,google_play,Neutral,0.0,slow,Transaction Performance
berhan deriba wami,4,2025-10-14,CBE,google_play,Neutral,0.0,berhan deriba wami,Other
mahamad Usman,5,2025-10-13,CBE,google_play,Neutral,0.0,mahamad usman,Other
Erako,5,2025-10-13,CBE,google_play,Neutral,0.0,erako,Other
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,google_play,Negative,-0.875,,Other
opne,5,2025-10-13,CBE,google_play,Neutral,0.0,opne,Other
mehommd nuri,5,2025-10-13,CBE,google_play,Neutral,0.0,mehommd nuri,Other
Best,5,2025-10-12,CBE,google_play,Positive,0.6369,well,Other
providing very secure service.,5,2025-10-12,CBE,google_play,Positive,0.4005,provide secure service,Other
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,google_play,Neutral,0.0,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም,Other
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,google_play,Neutral,0.0,ዳር ኑሮ ላለው ኣፍሪቻን ው,Other
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,google_play,Neutral,0.0,riyad mohammed abaoli,Other
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,google_play,Negative,-0.296,bank statement option transaction past month,Other
Mamma Husen,2,2025-10-11,CBE,google_play,Neutral,0.0,mamma husen,Other
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,google_play,Positive,0.2263,star transaction history apart recent refresh button remove recent activity app allow client view transaction recent,Other
exceptional application from others bank,5,2025-10-10,CBE,google_play,Neutral,0.0,exceptional application bank,Other
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,google_play,Positive,0.8124,nice suggestion send cbe birr customer recipient befor actually send money improve,Other
good👍👍👍😊😊😊,5,2025-10-10,CBE,google_play,Positive,0.9633,good,Other
really good app,5,2025-10-10,CBE,google_play,Positive,0.4927,good app,Other
smart bank CBE,5,2025-10-10,CBE,google_play,Positive,0.4019,smart bank cbe,Other
Ali urgesa11,3,2025-10-09,CBE,google_play,Neutral,0.0,ali,Other
it's good,5,2025-10-09,CBE,google_play,Positive,0.4404,good,Other
Good apps,5,2025-10-09,CBE,google_play,Positive,0.4404,good app,Other
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,google_play,Neutral,0.0,password በጣት አሻራ ቢኖረው መልካም ነበር,Account Access Issues
best app i ever seen,5,2025-10-09,CBE,google_play,Positive,0.6369,good app see,Other
it's game changing in financial system,4,2025-10-09,CBE,google_play,Neutral,0.0,game change financial system,Other
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,google_play,Neutral,0.0,z mkt r,Other
will good updating,5,2025-10-09,CBE,google_play,Positive,0.4404,good update,Other
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,google_play,Negative,-0.2411,service charge vat fee wanna fair,Other
why removing screenshot feature why?,2,2025-10-08,CBE,google_play,Neutral,0.0,remove screenshot feature,Feature Requests
very good application! thank you all who participate!,5,2025-10-08,CBE,google_play,Positive,0.7608,good application thank participate,Other
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,google_play,Positive,0.908,application bank commercial ethiopia happy able appear great job pleasant job,Other
user compatible app!,5,2025-10-08,CBE,google_play,Neutral,0.0,user compatible app,Other
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,google_play,Positive,0.8891,try access app android phone work kindly try improve,Other
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,google_play,Positive,0.8689,amazing app know simplify life thank cbe proud,Other
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,google_play,Positive,0.4926,commercial bank ethiopia good,Other
Asledin Ibsa,5,2025-10-06,CBE,google_play,Neutral,0.0,asledin ibsa,Other
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,google_play,Negative,-0.4767,terrible show history transaction show disorganised way,Other
my bank,5,2025-10-05,CBE,google_play,Neutral,0.0,bank,Other
Data,5,2025-10-04,CBE,google_play,Neutral,0.0,datum,Other
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,google_play,Negative,-0.5948,lately face problem app problem log inter pin work say sync work fine day ago say enter pin change pin digit pin allow change solve problem app,Other
excellent app with lots of features,5,2025-10-04,CBE,google_play,Positive,0.5719,excellent app lot feature,Feature Requests
very good 👍 mobile banking,5,2025-10-04,CBE,google_play,Positive,0.4927,good mobile banking,Other
so special,5,2025-10-04,CBE,google_play,Positive,0.4576,special,Other
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,google_play,Positive,0.91,wiiy ewdihiliw esimirt niho yitnehew metgeyot,Other
woow cbe,5,2025-10-03,CBE,google_play,Neutral,0.0,woow cbe,Other
cbe the best bank app,4,2025-10-03,CBE,google_play,Positive,0.6369,cbe good bank app,Other
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,google_play,Positive,0.6369,app cbe bank simple smart like,Other
Rijalufaris,5,2025-10-02,CBE,google_play,Neutral,0.0,rijalufaris,Other
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,google_play,Negative,-0.5346,good app hate repeatedly update request,Other
imoo,3,2025-10-02,CBE,google_play,Neutral,0.0,imoo,Other
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,google_play,Positive,0.25,good robber vat tax service charge unbelievable charge send bank monthly charge etc hope international bank come leave bank,Other
screen shoot always not allowed why?,5,2025-10-02,CBE,google_play,Negative,-0.34,screen shoot allow,Other
enkorabetalen,5,2025-10-01,CBE,google_play,Neutral,0.0,enkorabetalen,Other
Gamada mahamadi,1,2025-10-01,CBE,google_play,Neutral,0.0,gamada mahamadi,Other
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,google_play,Positive,0.3392,good banking web network busy hope willfix problem,Other
verfcasencod,5,2025-09-30,CBE,google_play,Neutral,0.0,verfcasencod,Other
