review,rating,date,bank,source,sentiment_label,sentiment_score,clean_text,theme
"this app is pretty good. The recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why I gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",5,2025-08-20,CBE,google_play,Positive,0.743,app pretty good recent nice update restrict take screenshot happy remove screenshot restriction policy app give star past performance app mind remove screenshot restriction policy app self authorization uninstalle need extra sim card want visit nearby bank person,Other
Send money for some account but don't reserved Ball,5,2025-08-20,CBE,google_play,Neutral,0.0,send money account reserve ball,Other
very good🙏🙏,5,2025-08-19,CBE,google_play,Positive,0.4927,good,Other
I recognized thank you,5,2025-08-19,CBE,google_play,Positive,0.3612,recognize thank,Other
Best feature!!,5,2025-08-19,CBE,google_play,Positive,0.6988,good feature,Feature Requests
the saved account totally removed ..why????????,1,2025-08-19,CBE,google_play,Positive,0.5803,save account totally removed,Other
good bank Ethiopian very nic,5,2025-08-18,CBE,google_play,Positive,0.4404,good bank ethiopian nic,Other
this good app but screenshot must enable,4,2025-08-18,CBE,google_play,Positive,0.2382,good app screenshot enable,Other
በፊት ብር ትራንስፈር የተደረገባቸዉን አካዉንቶች remove አርጓል የሚያናድድ update ነው ::,1,2025-08-18,CBE,google_play,Neutral,0.0,በፊት ብር ትራንስፈር የተደረገባቸዉን አካዉንቶች remove አርጓል የሚያናድድ update ነው,Other
change mobile banking CBE,5,2025-08-18,CBE,google_play,Neutral,0.0,change mobile banking cbe,Other
The process of updating is not functioning easily. Installing is easy than updating. Screenshot should not be prevented. it is an instant evidence needed for some transactions.,2,2025-08-18,CBE,google_play,Positive,0.1999,process updating function easily instal easy update screenshot prevent instant evidence need transaction,Other
Adisi Deti,5,2025-08-17,CBE,google_play,Neutral,0.0,adisi deti,Other
this app is the good apps,5,2025-08-17,CBE,google_play,Positive,0.4404,app good app,Other
አሪፋ ነዉ ነገር ግን Recent Transaction በጣም የቆየዉን ነዉ የሚያሳይ Evene refresh ሁሉ ሲደረግ ትክክለኛ የቅርብ Transaction አያሳይም። Please አስተካክሉት,2,2025-08-15,CBE,google_play,Positive,0.3182,አሪፋ ነዉ ነገር ግን recent transaction በጣም የቆየዉን ነዉ የሚያሳይ evene refresh ሁሉ ሲደረግ ትክክለኛ የቅርብ transaction አስተካክሉት,Other
congra ethio,5,2025-08-15,CBE,google_play,Neutral,0.0,congra ethio,Other
እንዲሁ ነው የሰተኋችሁ ለሞራል,5,2025-08-15,CBE,google_play,Neutral,0.0,እንዲሁ ነው የሰተኋችሁ ለሞራል,Other
I don't think it is compatible with the new android version 16 it fails to open. Please update it or find a solution.,1,2025-08-14,CBE,google_play,Positive,0.2023,think compatible new android version fail open update find solution,Other
"ohhhh🤦 you must upgrade transferring problem. most of time, when transfer from CBE mobile banking to tele birr account, always suspending for 3 to 5 days 🤔. please try to fix it 🙏",2,2025-08-14,CBE,google_play,Negative,-0.1027,ohhhh upgrade transferring problem time transfer cbe mobile banking tele birr account suspend day try fix,Other
this APK Best for most of people,5,2025-08-13,CBE,google_play,Positive,0.6369,apk good people,Other
good keep it up,5,2025-08-13,CBE,google_play,Positive,0.4404,good,Other
very nice app,5,2025-08-12,CBE,google_play,Positive,0.4754,nice app,Other
Most of the time either the app or *889# don't work,2,2025-08-12,CBE,google_play,Neutral,0.0,time app work,Other
cbe. noor,2,2025-08-12,CBE,google_play,Neutral,0.0,cbe noor,Other
why this app is logging in while your device is not connected to internet ... is it appropriate ?... and it isnt exposed to hucking or malicious activity?,1,2025-08-12,CBE,google_play,Positive,0.1486,app log device connect internet appropriate not expose hucking malicious activity,Other
በጣም አሪፍ ነው በርቱልን,5,2025-08-12,CBE,google_play,Neutral,0.0,በጣም አሪፍ ነው በርቱልን,Other
this is so good,5,2025-08-11,CBE,google_play,Positive,0.5777,good,Other
❤❤❤❤❤😂,5,2025-08-10,CBE,google_play,Positive,0.9774,,Other
Very interesting 🤔,5,2025-08-10,CBE,google_play,Positive,0.4576,interesting,Other
very good app 👍👍👍 time saving and more accurate,5,2025-08-09,CBE,google_play,Positive,0.4927,good app time save accurate,Other
"i like your app to order ATM card through it, i get it new on your app",5,2025-08-09,CBE,google_play,Positive,0.3612,like app order atm card new app,Other
very bad app,1,2025-08-09,CBE,google_play,Negative,-0.5849,bad app,Other
good 👍,5,2025-08-09,CBE,google_play,Positive,0.4404,good,Other
it is the best transferring AP,5,2025-08-08,CBE,google_play,Positive,0.6369,good transferring ap,Other
it's good but add some more please,3,2025-08-08,CBE,google_play,Positive,0.653,good add,Other
best servis app,4,2025-08-07,CBE,google_play,Positive,0.6369,good servis app,Other
very useful to use it from any where in the world !,5,2025-08-07,CBE,google_play,Positive,0.54,useful use world,Other
it very good but why block the screen shoot,5,2025-08-07,CBE,google_play,Negative,-0.7053,good block screen shoot,Other
Good app,5,2025-08-07,CBE,google_play,Positive,0.4404,good app,Other
"the most disgusting app,",1,2025-08-07,CBE,google_play,Negative,-0.5709,disgusting app,Other
ብዙ የሚቀሩ ነገሮ አሉ ለምሳሌ አንድ ሰው ወደ ቴሌ ብር ሲልክ ግዴታ አካካውንት የከፈተበት ስልክ መሆን አይጠበቅበትም እና ሲስተሙ የበለጠ አዘምኑት ሰው ባንክ ሲመጣ የፈጠነ ማስተናገድ ወደ ቅርንጫፍ ሲመጣ እዛም አካውንት እዚም አካውንት መከፈት የለበትም እንዲ ሲሆን ደንበኛ ይሸሻል ሌላው ደሞ የሰራተኞቹን ልብስ ቀይሩት እውነት ለመናገር ቀቤር አስፈፃሚ ነው ሚመስሉት የቀረውን እናንተ መርምራቹ አስተካክሉት አመሰግናለሁ,3,2025-08-07,CBE,google_play,Neutral,0.0,ብዙ የሚቀሩ ነገሮ አሉ ለምሳሌ አንድ ሰው ወደ ቴሌ ብር ሲልክ ግዴታ አካካውንት የከፈተበት ስልክ መሆን አይጠበቅበትም እና ሲስተሙ የበለጠ አዘምኑት ሰው ባንክ ሲመጣ የፈጠነ ማስተናገድ ወደ ቅርንጫፍ ሲመጣ እዛም አካውንት እዚም አካውንት መከፈት የለበትም እንዲ ሲሆን ደንበኛ ይሸሻል ሌላው ደሞ የሰራተኞቹን ልብስ ቀይሩት እውነት ለመናገር ቀቤር አስፈፃሚ ነው ሚመስሉት የቀረውን እናንተ መርምራቹ አስተካክሉት አመሰግናለሁ,Other
"unexpected anomalies, unreliable as fintec app",2,2025-08-05,CBE,google_play,Neutral,0.0,unexpected anomaly unreliable fintec app,Other
best one,5,2025-08-05,CBE,google_play,Positive,0.6369,well,Other
awesome,5,2025-08-05,CBE,google_play,Positive,0.6249,awesome,Other
so good,5,2025-08-04,CBE,google_play,Positive,0.4927,good,Other
worst experience,1,2025-08-04,CBE,google_play,Negative,-0.6249,bad experience,Other
The 1st one is CBE,5,2025-08-04,CBE,google_play,Neutral,0.0,cbe,Other
"this is the worst app that could exist on the planet, omg it literally crashes every month",1,2025-08-04,CBE,google_play,Negative,-0.6249,bad app exist planet omg literally crash month,Transaction Performance
CBE,5,2025-08-04,CBE,google_play,Neutral,0.0,cbe,Other
goof,5,2025-11-28,BOA,google_play,Neutral,0.0,goof,Other
good!,5,2025-11-28,BOA,google_play,Positive,0.4926,good,Other
good jop,5,2025-11-27,BOA,google_play,Positive,0.4404,good jop,Other
bad exprience...it is so crushed,1,2025-11-27,BOA,google_play,Negative,-0.7973,bad exprience crushed,Other
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA,google_play,Negative,-0.4268,user friendly require huge connectivity lag time,Transaction Performance
ምንም የማይ ሰራ,1,2025-11-26,BOA,google_play,Neutral,0.0,ምንም የማይ ሰራ,Other
very good,5,2025-11-25,BOA,google_play,Positive,0.4927,good,Other
most of the time is not working properly,1,2025-11-25,BOA,google_play,Neutral,0.0,time work properly,Other
good service,5,2025-11-25,BOA,google_play,Positive,0.4404,good service,Other
not use for me,3,2025-11-23,BOA,google_play,Neutral,0.0,use,Other
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,google_play,Negative,-0.4019,keep notify disable developer option quiet enable bring type problem new update,User Interface & Experience
waw,5,2025-11-21,BOA,google_play,Neutral,0.0,waw,Other
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,google_play,Negative,-0.1531,lag unbelievable need suks,Transaction Performance
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,google_play,Negative,-0.8834,not belive find bad bank app simple fix problem company ignore body business kind app,Other
it is a good app,5,2025-11-18,BOA,google_play,Positive,0.4404,good app,Other
it is not working at all,1,2025-11-15,BOA,google_play,Neutral,0.0,work,Other
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,google_play,Positive,0.9848,app good live abroad enter otp code not write code app want self write s fair wise like,Other
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,google_play,Positive,0.34,try activate app keep load security question page day,Other
fast and simple,5,2025-11-11,BOA,google_play,Neutral,0.0,fast simple,Other
best of best,5,2025-11-10,BOA,google_play,Positive,0.8555,good good,Other
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,google_play,Negative,-0.5994,wor banking app see fake app bad well leave,Other
good,4,2025-11-10,BOA,google_play,Positive,0.4404,good,Other
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,google_play,Positive,0.4166,like share feedback application frequently experience disruption function properly freeze fail load issue affect workflow efficiency kindly review address problem ensure smoother performance,Other
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,google_play,Positive,0.4404,meet try boa ethiopia thank,Other
best app,5,2025-11-08,BOA,google_play,Positive,0.6369,good app,Other
Best app,5,2025-11-07,BOA,google_play,Positive,0.6369,good app,Other
"Barely works, it always fails to connect",1,2025-11-07,BOA,google_play,Negative,-0.4215,barely work fail connect,Other
my fav app,5,2025-11-07,BOA,google_play,Positive,0.4588,fav app,Other
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,google_play,Neutral,0.0,app launch time long dozen bug addition long time update,Other
very nice,5,2025-11-04,BOA,google_play,Positive,0.4754,nice,Other
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,google_play,Positive,0.102,application irritate use functionality work like card management need well good idea reference banking application,Other
I like,5,2025-11-02,BOA,google_play,Positive,0.3612,like,Other
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,google_play,Neutral,0.0,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,Other
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,google_play,Positive,0.4969,m sorry work android slow bank fast update,Transaction Performance
"the worst app ever,",1,2025-10-30,BOA,google_play,Negative,-0.6249,bad app,Other
better,5,2025-10-29,BOA,google_play,Positive,0.4404,well,Other
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,google_play,Neutral,-0.0258,kindly request bank abyssinia address issue mobile app slow numerous problem frequently experience downtime user experience poor thank,Transaction Performance
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,google_play,Negative,-0.4291,app open problem solve problem,Other
kiyaa makonn,5,2025-10-27,BOA,google_play,Neutral,0.0,kiyaa makonn,Other
very very lazy app,1,2025-10-26,BOA,google_play,Negative,-0.4716,lazy app,Other
telebirr remittance,5,2025-10-24,BOA,google_play,Neutral,0.0,telebirr remittance,Other
The best bank in 🇪🇹,5,2025-10-23,BOA,google_play,Positive,0.6369,good bank,Other
its good,5,2025-10-22,BOA,google_play,Positive,0.4404,good,Other
the worst app in my financial experience.,1,2025-10-22,BOA,google_play,Negative,-0.6249,bad app financial experience,Other
good for mb appliciation,5,2025-10-21,BOA,google_play,Positive,0.4404,good mb appliciation,Other
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,google_play,Negative,-0.9107,bad bank slow accept dual sim stupid greedy,Transaction Performance
try to easy network,4,2025-10-17,BOA,google_play,Positive,0.4404,try easy network,Other
hussen hassen umer,5,2025-10-16,BOA,google_play,Neutral,0.0,hussen hassen umer,Other
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,google_play,Positive,0.4404,app suitable lack good ui design large bank update app professional ui fast appropriate,User Interface & Experience
an exceptional banking app.,5,2025-10-16,BOA,google_play,Neutral,0.0,exceptional banking app,Other
alhamdulilah,5,2025-10-11,BOA,google_play,Neutral,0.0,alhamdulilah,Other
poor,5,2025-10-11,BOA,google_play,Negative,-0.4767,poor,Other
Best of best,5,2025-10-09,BOA,google_play,Positive,0.8555,good good,Other
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,google_play,Negative,-0.5664,week update app work check problem,Other
It's always crushing,1,2025-10-08,BOA,google_play,Negative,-0.3612,crush,Other
office branches have to improve their services please,4,2025-10-07,BOA,google_play,Positive,0.6369,office branch improve service,Other
♥️♥️,5,2025-10-05,BOA,google_play,Positive,0.8555,,Other
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,google_play,Positive,0.4404,crash use boa well customer deal send money,Transaction Performance
it needs a timely update,5,2025-10-03,BOA,google_play,Neutral,0.0,need timely update,Other
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,google_play,Negative,-0.6794,person send money request receipt difficult different people transfer different bank difficult identify account sender,Other
Like,5,2025-10-01,BOA,google_play,Positive,0.3612,like,Other
I can't type my otp on it.,1,2025-10-01,BOA,google_play,Neutral,0.0,type otp,Other
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,google_play,Positive,0.1757,bank app ethiopia link ethiopian phone number live permanently open boa account tell live link email address instead phone ethio phone number work live unfortunetly fear appear change phone device send code ethio number u develop bank app consider diaspora community use ur app,Other
jaajja,4,2025-09-30,BOA,google_play,Neutral,0.0,jaajja,Other
I love this bank the best experience ever.,5,2025-09-28,BOA,google_play,Positive,0.8555,love bank good experience,Other
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,google_play,Negative,-0.5667,improve work like previous version,Other
easy and fast,5,2025-09-24,BOA,google_play,Positive,0.4404,easy fast,Other
Great,5,2025-09-20,BOA,google_play,Positive,0.6249,great,Other
mobile banking,5,2025-09-19,BOA,google_play,Neutral,0.0,mobile banking,Other
😎,5,2025-09-18,BOA,google_play,Positive,0.4588,,Other
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,google_play,Neutral,0.0,need alot connection choose device lug connection,Other
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,google_play,Positive,0.5656,io perfect android barley work transfer crush totally stop work fix issue beloved bank abyssinia,Other
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,google_play,Neutral,0.0,update open app crash lot omg slow opening loading,Transaction Performance
none,5,2025-09-14,BOA,google_play,Neutral,0.0,,Other
very good app i ever used,5,2025-09-12,BOA,google_play,Positive,0.4927,good app,Other
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,google_play,Positive,0.8271,nice app especially transaction limit extend face boa app respond activation stage strictly smsng mobile phone try safe,Other
zedo,5,2025-09-11,BOA,google_play,Neutral,0.0,zedo,Other
please open my mobile app,5,2025-09-10,BOA,google_play,Positive,0.3182,open mobile app,Other
it doesn't open,1,2025-09-10,BOA,google_play,Neutral,0.0,open,Other
Very Good,5,2025-09-09,BOA,google_play,Positive,0.4927,good,Other
masha alla,5,2025-09-08,BOA,google_play,Neutral,0.0,masha alla,Other
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA,google_play,Positive,0.6696,good banking transaction application ethiopia,Other
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA,google_play,Neutral,0.0,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,Other
tamaam kamal,1,2025-09-04,BOA,google_play,Neutral,0.0,tamaam kamal,Other
በጣም ሐሪፍ,5,2025-09-03,BOA,google_play,Neutral,0.0,በጣም ሐሪፍ,Other
great 👍,5,2025-09-02,BOA,google_play,Positive,0.6249,great,Other
absiniya banki,5,2025-08-29,BOA,google_play,Neutral,0.0,absiniya banki,Other
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA,google_play,Neutral,0.0,issue installation think work tecno common,Other
One of the best in this business,5,2025-08-25,BOA,google_play,Positive,0.6369,good business,Other
Excellent,5,2025-08-20,BOA,google_play,Positive,0.5719,excellent,Other
besat🥰,5,2025-08-19,BOA,google_play,Positive,0.8074,besat,Other
unlimited experience,5,2025-08-18,BOA,google_play,Neutral,0.0,unlimited experience,Other
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,google_play,Positive,0.7261,bank u hire good job bc joke nowadays log transfer crash u fix app update review count u boa update atleast fix suggestion u password final step send money feel secure way,Account Access Issues
very nice mobile banking app my favourite,5,2025-08-16,BOA,google_play,Positive,0.4754,nice mobile banking app favourite,Other
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,google_play,Neutral,0.0,boot crash immediately,Transaction Performance
best apps,5,2025-08-15,BOA,google_play,Positive,0.6369,good app,Other
the worst app ever to exist in a bank history,1,2025-08-15,BOA,google_play,Negative,-0.6249,bad app exist bank history,Other
thank you,5,2025-08-14,BOA,google_play,Positive,0.3612,thank,Other
Best mobile app in the country,5,2025-08-14,BOA,google_play,Positive,0.6369,good mobile app country,Other
not fast,2,2025-08-12,BOA,google_play,Neutral,0.0,fast,Other
keeps freezing at the front page.,1,2025-08-10,BOA,google_play,Negative,-0.1027,keep freeze page,Other
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,google_play,Positive,0.0772,work redminote pls fix,Other
abseniya bank app,5,2025-08-08,BOA,google_play,Neutral,0.0,abseniya bank app,Other
yes goode app,5,2025-08-03,BOA,google_play,Positive,0.4019,yes goode app,Other
Great App,5,2025-08-02,BOA,google_play,Positive,0.6249,great app,Other
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,google_play,Negative,-0.7521,crash repeatedly take century boot repeatedly require update annoying ask password step confirmation transfer money automatically stop music app launch matter fyi overall bad mobile banking app try far release bug issue,Account Access Issues
ረጀብነሱ,1,2025-07-31,BOA,google_play,Neutral,0.0,ረጀብነሱ,Other
The Worst Mobile Banking App.,1,2025-07-31,BOA,google_play,Negative,-0.6249,bad mobile banking app,Other
giod,5,2025-07-30,BOA,google_play,Neutral,0.0,giod,Other
best bank in ethiopia,5,2025-07-29,BOA,google_play,Positive,0.6369,good bank ethiopia,Other
waqayyoo,5,2025-07-28,BOA,google_play,Neutral,0.0,waqayyoo,Other
please is not working,2,2025-07-27,BOA,google_play,Positive,0.3182,work,Other
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,google_play,Neutral,0.0,need install apk date,Other
I can log in from any where,5,2025-07-23,BOA,google_play,Neutral,0.0,log,Other
😇,3,2025-07-21,BOA,google_play,Positive,0.4588,,Other
no proplem,5,2025-07-20,BOA,google_play,Negative,-0.296,proplem,Other
👍👍👍,5,2025-07-20,BOA,google_play,Neutral,0.0,,Other
excellent app,5,2025-07-18,BOA,google_play,Positive,0.5719,excellent app,Other
good work,5,2025-07-15,BOA,google_play,Positive,0.4404,good work,Other
☹️,5,2025-07-15,BOA,google_play,Negative,-0.34,,Other
excellent,5,2025-07-14,BOA,google_play,Positive,0.5719,excellent,Other
Great BoA,5,2025-07-14,BOA,google_play,Positive,0.6249,great boa,Other
Good,5,2025-07-14,BOA,google_play,Positive,0.4404,good,Other
Okay,4,2025-07-13,BOA,google_play,Positive,0.2263,okay,Other
not working,1,2025-07-12,BOA,google_play,Neutral,0.0,work,Other
This App is Getting worse and worse with every update,2,2025-07-11,BOA,google_play,Negative,-0.7351,app get bad bad update,Other
ምርጥ ነው,1,2025-07-10,BOA,google_play,Neutral,0.0,ምርጥ ነው,Other
nice,5,2025-07-10,BOA,google_play,Positive,0.4215,nice,Other
meku,5,2025-07-07,BOA,google_play,Neutral,0.0,meku,Other
awasome app go a head,5,2025-07-04,BOA,google_play,Neutral,0.0,awasome app head,Other
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,google_play,Negative,-0.7964,suck hell crash time take long time load,Transaction Performance
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,google_play,Negative,-0.3506,app nice easy use time crush say error check device connectivity fix,Other
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,google_play,Negative,-0.1415,easy nice app load previouse recent time loading problem detect,Other
wow,5,2025-07-01,BOA,google_play,Positive,0.5859,wow,Other
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,google_play,Negative,-0.8126,bad mba experience app crush frequently long fix problem week,Other
amazing Banks App👌👌,3,2025-06-25,BOA,google_play,Positive,0.9439,amazing bank app,Other
good App fore me,5,2025-06-25,BOA,google_play,Positive,0.4404,good app fore,Other
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,google_play,Neutral,0.0,uninterested work developer mode developer option prefer uninstall app,Other
fantastic,5,2025-06-22,BOA,google_play,Positive,0.5574,fantastic,Other
👍,4,2025-06-21,BOA,google_play,Neutral,0.0,,Other
it's nice to use.,5,2025-06-21,BOA,google_play,Positive,0.4215,nice use,Other
app doesn't start,1,2025-06-21,BOA,google_play,Neutral,0.0,app start,Other
Excellent application,5,2025-06-18,BOA,google_play,Positive,0.5719,excellent application,Other
its very bad app its very slow,1,2025-06-17,BOA,google_play,Negative,-0.5849,bad app slow,Transaction Performance
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,google_play,Neutral,0.0,ብዙዬ ሺዋየ በለጠ,Other
Good job!,5,2025-06-13,BOA,google_play,Positive,0.4926,good job,Other
best financial app.,5,2025-06-12,BOA,google_play,Positive,0.6369,good financial app,Other
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,google_play,Neutral,0.0,ቆንጆ ነው በርቱ,Other
the worst app humans ever created,1,2025-06-09,BOA,google_play,Negative,-0.4767,bad app human create,Other
it's not working,3,2025-06-05,BOA,google_play,Neutral,0.0,work,Other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,google_play,Negative,-0.1884,hello face problem boa mobile app time enter phone number password app crash show error say boamobile close app bug try update reinstall clear cache work fix bug update need access account thank,Account Access Issues
exceptional,5,2025-06-03,BOA,google_play,Neutral,0.0,exceptional,Other
BoA Mobile good bank,5,2025-06-02,BOA,google_play,Positive,0.4404,boa mobile good bank,Other
this is worest app 24/7 loading,1,2025-06-01,BOA,google_play,Neutral,0.0,wor app loading,Other
BoA system is confartable,5,2025-06-01,BOA,google_play,Neutral,0.0,boa system confartable,Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,google_play,Negative,-0.8491,app waste time work long piss fix problem,Other
Good service.,3,2025-05-25,BOA,google_play,Positive,0.4404,good service,Other
the app crush frequently,1,2025-05-24,BOA,google_play,Negative,-0.1531,app crush frequently,Other
You guys keeps getting worst,1,2025-05-22,BOA,google_play,Negative,-0.6249,guy keep get bad,Other
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,google_play,Positive,0.7757,app joke crash work take forever load half feature decorative point log transfer money check balance bug developer actually try work kind social experiment test patience build sleep definitely look like idea functional app maybe consider different career path,Transaction Performance
BoA,2,2025-05-20,BOA,google_play,Neutral,0.0,boa,Other
but not opening on android,4,2025-05-19,BOA,google_play,Neutral,0.0,open android,Other
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,google_play,Negative,-0.6249,bad app totally unreliable work month,Other
amazing,5,2025-05-18,BOA,google_play,Positive,0.5859,amazing,Other
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,google_play,Negative,-0.296,app work samsung give preview logo,Other
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,google_play,Negative,-0.4639,enter incorrect security question mistake boa app lock pin forever option contact different branch able solve issue,Other
liking this application good 👍,5,2025-05-07,BOA,google_play,Positive,0.6808,like application good,Other
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,google_play,Negative,-0.775,app future good problem app reset activate difficult branch staff take long time active branch plus time high expect failure activation process counter otp sent work,Other
it's really good 👍,5,2025-04-23,BOA,google_play,Positive,0.4927,good,Other
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,google_play,Negative,-0.6705,bad app stick open note work,Other
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,google_play,Neutral,0.0,app work ask password start load open,Account Access Issues
Best,2,2025-04-19,BOA,google_play,Positive,0.6369,well,Other
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,google_play,Negative,-0.6571,keep show pop turn developer option tho turn work horrible experience need fix asap plus kinda slow,Transaction Performance
